Industry,Normalized,Company,ID,TEL
VIETA（飲食）,SORAGROUP,株式会社SORA GROUP,754736,052-938-9991
VIETA（飲食）,SORAGROUP,株式会社SORAGROUP,809224,052-938-9991
VIETA（飲食）,MammaMia,株式会社MammaMia,754738,052-734-2145
VIETA（飲食）,MammaMia,株式会社MammaMia,832484,052-734-2145
VIETA（飲食）,セントラルホールディングス株式会社,セントラルホールディングス 株式会社,754741,052-912-0298
VIETA（飲食）,セントラルホールディングス株式会社,セントラルホールディングス株式会社,789838,052-912-0298
VIETA（飲食）,フードリンク,株式会社フードリンク,754752,052-433-3307
VIETA（飲食）,フードリンク,株式会社フードリンク,789837,052-433-3307
VIETA（飲食）,"",,754755,0532-54-1089
VIETA（飲食）,"",,754757,0568-29-0151
VIETA（飲食）,"", ,789717, 
VIETA（飲食）,浜木綿,株式会社 浜木綿,754768,052-832-0005
VIETA（飲食）,浜木綿,株式会社浜木綿,900680,052-832-0005
VIETA（飲食）,日成,株式会社日成,754775,052-769-6233
VIETA（飲食）,日成,株式会社日成,789849,052-769-6233
VIETA（飲食）,日成,株式会社日成,867223,052-769-6233
VIETA（飲食）,豊箸,株式会社 豊箸,754795,0532-53-8822
VIETA（飲食）,豊箸,株式会社豊箸,809279,0532-53-8822
VIETA（飲食）,さわやか株式会社,さわやか株式会社,754942,0538-49-5311
VIETA（飲食）,さわやか株式会社,さわやか株式会社,816242,0538-31-2511
VIETA（飲食）,ネクステージ豊田東店,ネクステージ豊田東店,787960, 
VIETA（飲食）,ネクステージ豊田東店,ネクステージ豊田東店,788833, 
VIETA（飲食）,ネクステージ豊田東店,ネクステージ豊田東店,859700, 
VIETA（飲食）,ネクステージ豊田東店,ネクステージ豊田東店,884250, 
VIETA（飲食）,ネクステージクラスポ蒲郡店,ネクステージクラスポ蒲郡店,787961, 
VIETA（飲食）,ネクステージクラスポ蒲郡店,ネクステージクラスポ蒲郡店,788834, 
VIETA（飲食）,ネクステージ豊橋店,ネクステージ豊橋店,787964, 
VIETA（飲食）,ネクステージ豊橋店,ネクステージ豊橋店,788837, 
VIETA（飲食）,あんしんネットあいち,株式会社あんしんネットあいち,787965, 
